x	y	key	showSelected1	PANEL	group
-1.49606987187603	32	1	ATAC_JV_adipose/1	1	1
-1.48949677960774	32	1	ATAC_JV_adipose/1	1	1
-1.47815293879967	33	1	ATAC_JV_adipose/1	1	1
-1.46958908037414	35	1	ATAC_JV_adipose/1	1	1
-1.46621643278773	35	1	ATAC_JV_adipose/1	1	1
-1.46528179753628	35	1	ATAC_JV_adipose/1	1	1
-1.46311592792939	35	1	ATAC_JV_adipose/1	1	1
-1.45423437941057	35	1	ATAC_JV_adipose/1	1	1
-1.44427647895405	35	1	ATAC_JV_adipose/1	1	1
-1.43508816044481	35	1	ATAC_JV_adipose/1	1	1
-1.42221027173412	35	1	ATAC_JV_adipose/1	1	1
-1.41417892926094	36	1	ATAC_JV_adipose/1	1	1
-1.41163048755896	37	1	ATAC_JV_adipose/1	1	1
-1.40872864275955	37	1	ATAC_JV_adipose/1	1	1
-1.40573850494558	37	1	ATAC_JV_adipose/1	1	1
-1.40041780958912	37	1	ATAC_JV_adipose/1	1	1
-1.39204262742294	37	1	ATAC_JV_adipose/1	1	1
-1.3872568876903	37	1	ATAC_JV_adipose/1	1	1
-1.3849363804897	38	1	ATAC_JV_adipose/1	1	1
-1.38218848998921	38	1	ATAC_JV_adipose/1	1	1
-1.37825066804667	38	1	ATAC_JV_adipose/1	1	1
-1.37029286231506	39	1	ATAC_JV_adipose/1	1	1
-1.36291728904172	39	1	ATAC_JV_adipose/1	1	1
-1.35372875995416	39	1	ATAC_JV_adipose/1	1	1
-1.34191010125622	39	1	ATAC_JV_adipose/1	1	1
-1.33536631690636	39	1	ATAC_JV_adipose/1	1	1
-1.33309951434078	39	1	ATAC_JV_adipose/1	1	1
-1.33222799314614	40	1	ATAC_JV_adipose/1	1	1
-1.32788101072804	41	1	ATAC_JV_adipose/1	1	1
-1.32221433634542	41	1	ATAC_JV_adipose/1	1	1
-1.31709167630297	41	1	ATAC_JV_adipose/1	1	1
-1.30756779980863	41	1	ATAC_JV_adipose/1	1	1
-1.28242206932163	41	1	ATAC_JV_adipose/1	1	1
-1.25978155258112	41	1	ATAC_JV_adipose/1	1	1
-1.25188234577758	41	1	ATAC_JV_adipose/1	1	1
-1.24164512466526	41	1	ATAC_JV_adipose/1	1	1
-1.23451515612329	41	1	ATAC_JV_adipose/1	1	1
-1.22695426579187	41	1	ATAC_JV_adipose/1	1	1
-1.21026703152925	41	1	ATAC_JV_adipose/1	1	1
-1.19764918139257	40	1	ATAC_JV_adipose/1	1	1
-1.1892625893592	40	1	ATAC_JV_adipose/1	1	1
-1.18293511490397	40	1	ATAC_JV_adipose/1	1	1
-1.17643938201871	40	1	ATAC_JV_adipose/1	1	1
